"crop","region","item","year","value"
"corn","us","Primary product:  Corn grain","1996.0","366.45899999999995"
"corn","us","Secondary product:  Corn silage","1996.0","3.47"
"corn","us","Total, gross value of production","1996.0","369.929"
"corn","us","Seed","1996.0","26.65"
"corn","us","Fertilizer","1996.0","51.21"
"corn","us","Chemicals","1996.0","27.42"
"corn","us","Custom operations","1996.0","11.3"
"corn","us","Fuel, lube, and electricity","1996.0","24.43"
"corn","us","Repairs","1996.0","15.78"
"corn","us","Purchased irrigation water","1996.0","0.3"
"corn","us","Interest on operating capital","1996.0","3.86"
"corn","us","Total, operating costs","1996.0","160.95000000000002"
"corn","us","Hired labor","1996.0","2.83"
"corn","us","Opportunity cost of unpaid labor","1996.0","28.99"
"corn","us","Capital recovery of machinery and equipment","1996.0","63.02"
"corn","us","Opportunity cost of land","1996.0","80.79"
"corn","us","Taxes and insurance","1996.0","6.98"
"corn","us","General farm overhead","1996.0","10.38"
"corn","us","Total, allocated overhead","1996.0","192.98999999999998"
"corn","us","Total, costs listed","1996.0","353.94"
"corn","us","Value of production less total costs listed","1996.0","15.988999999999976"
"corn","us","Value of production less operating costs","1996.0","208.97899999999996"
"corn","us","Yield (bushels per planted acre)","1996.0","129.95"
"corn","us","Price (dollars per bushel at harvest)","1996.0","2.82"
"corn","us","Enterprise size (planted acres)","1996.0","189.0"
"corn","us","Irrigated (percent)","1996.0","15.0"
"corn","us","Dryland (percent)","1996.0","85.0"
"corn","us","Primary product:  Corn grain","1997.0","327.6"
"corn","us","Secondary product:  Corn silage","1997.0","3.77"
"corn","us","Total, gross value of production","1997.0","331.37"
"corn","us","Seed","1997.0","28.71"
"corn","us","Fertilizer","1997.0","50.37"
"corn","us","Chemicals","1997.0","26.87"
"corn","us","Custom operations","1997.0","11.3"
"corn","us","Fuel, lube, and electricity","1997.0","24.55"
"corn","us","Repairs","1997.0","16.17"
"corn","us","Purchased irrigation water","1997.0","0.32"
"corn","us","Interest on operating capital","1997.0","3.96"
"corn","us","Total, operating costs","1997.0","162.25000000000003"
"corn","us","Hired labor","1997.0","3.07"
"corn","us","Opportunity cost of unpaid labor","1997.0","29.89"
"corn","us","Capital recovery of machinery and equipment","1997.0","64.5"
"corn","us","Opportunity cost of land","1997.0","84.81"
"corn","us","Taxes and insurance","1997.0","7.0"
"corn","us","General farm overhead","1997.0","12.21"
"corn","us","Total, allocated overhead","1997.0","201.48000000000002"
"corn","us","Total, costs listed","1997.0","363.73"
"corn","us","Value of production less total costs listed","1997.0","-32.360000000000014"
"corn","us","Value of production less operating costs","1997.0","169.11999999999998"
"corn","us","Yield (bushels per planted acre)","1997.0","130.0"
"corn","us","Price (dollars per bushel at harvest)","1997.0","2.52"
"corn","us","Enterprise size (planted acres)","1997.0","189.0"
"corn","us","Irrigated (percent)","1997.0","15.0"
"corn","us","Dryland (percent)","1997.0","85.0"
"corn","us","Primary product:  Corn grain","1998.0","259.76"
"corn","us","Secondary product:  Corn silage","1998.0","3.12"
"corn","us","Total, gross value of production","1998.0","262.88"
"corn","us","Seed","1998.0","30.02"
"corn","us","Fertilizer","1998.0","45.51"
"corn","us","Chemicals","1998.0","27.36"
"corn","us","Custom operations","1998.0","11.29"
"corn","us","Fuel, lube, and electricity","1998.0","22.96"
"corn","us","Repairs","1998.0","16.65"
"corn","us","Purchased irrigation water","1998.0","0.31"
"corn","us","Interest on operating capital","1998.0","3.61"
"corn","us","Total, operating costs","1998.0","157.71000000000004"
"corn","us","Hired labor","1998.0","3.19"
"corn","us","Opportunity cost of unpaid labor","1998.0","30.63"
"corn","us","Capital recovery of machinery and equipment","1998.0","66.46"
"corn","us","Opportunity cost of land","1998.0","86.35"
"corn","us","Taxes and insurance","1998.0","7.05"
"corn","us","General farm overhead","1998.0","11.47"
"corn","us","Total, allocated overhead","1998.0","205.15"
"corn","us","Total, costs listed","1998.0","362.86"
"corn","us","Value of production less total costs listed","1998.0","-99.98000000000002"
"corn","us","Value of production less operating costs","1998.0","105.16999999999996"
"corn","us","Yield (bushels per planted acre)","1998.0","136.0"
"corn","us","Price (dollars per bushel at harvest)","1998.0","1.91"
"corn","us","Enterprise size (planted acres)","1998.0","189.0"
"corn","us","Irrigated (percent)","1998.0","15.0"
"corn","us","Dryland (percent)","1998.0","85.0"
"corn","us","Primary product:  Corn grain","1999.0","228.15"
"corn","us","Secondary product:  Corn silage","1999.0","2.55"
"corn","us","Total, gross value of production","1999.0","230.70000000000002"
"corn","us","Seed","1999.0","30.29"
"corn","us","Fertilizer","1999.0","42.84"
"corn","us","Chemicals","1999.0","28.4"
"corn","us","Custom operations","1999.0","11.37"
"corn","us","Fuel, lube, and electricity","1999.0","23.04"
"corn","us","Repairs","1999.0","17.17"
"corn","us","Purchased irrigation water","1999.0","0.31"
"corn","us","Interest on operating capital","1999.0","3.5"
"corn","us","Total, operating costs","1999.0","156.92000000000002"
"corn","us","Hired labor","1999.0","3.28"
"corn","us","Opportunity cost of unpaid labor","1999.0","31.43"
"corn","us","Capital recovery of machinery and equipment","1999.0","68.49"
"corn","us","Opportunity cost of land","1999.0","86.77"
"corn","us","Taxes and insurance","1999.0","6.96"
"corn","us","General farm overhead","1999.0","10.88"
"corn","us","Total, allocated overhead","1999.0","207.80999999999997"
"corn","us","Total, costs listed","1999.0","364.73"
"corn","us","Value of production less total costs listed","1999.0","-134.03"
"corn","us","Value of production less operating costs","1999.0","73.78"
"corn","us","Yield (bushels per planted acre)","1999.0","135.0"
"corn","us","Price (dollars per bushel at harvest)","1999.0","1.69"
"corn","us","Enterprise size (planted acres)","1999.0","189.0"
"corn","us","Irrigated (percent)","1999.0","15.0"
"corn","us","Dryland (percent)","1999.0","85.0"
"corn","us","Primary product:  Corn grain","2000.0","244.26"
"corn","us","Secondary product:  Corn silage","2000.0","2.41"
"corn","us","Total, gross value of production","2000.0","246.67"
"corn","us","Seed","2000.0","30.02"
"corn","us","Fertilizer","2000.0","43.16"
"corn","us","Chemicals","2000.0","28.82"
"corn","us","Custom operations","2000.0","11.48"
"corn","us","Fuel, lube, and electricity","2000.0","29.12"
"corn","us","Repairs","2000.0","17.55"
"corn","us","Purchased irrigation water","2000.0","0.31"
"corn","us","Interest on operating capital","2000.0","4.53"
"corn","us","Total, operating costs","2000.0","164.99"
"corn","us","Hired labor","2000.0","3.36"
"corn","us","Opportunity cost of unpaid labor","2000.0","32.21"
"corn","us","Capital recovery of machinery and equipment","2000.0","70.16"
"corn","us","Opportunity cost of land","2000.0","89.36"
"corn","us","Taxes and insurance","2000.0","7.13"
"corn","us","General farm overhead","2000.0","11.11"
"corn","us","Total, allocated overhead","2000.0","213.32999999999998"
"corn","us","Total, costs listed","2000.0","378.32"
"corn","us","Value of production less total costs listed","2000.0","-131.65"
"corn","us","Value of production less operating costs","2000.0","81.67999999999998"
"corn","us","Yield (bushels per planted acre)","2000.0","138.0"
"corn","us","Price (dollars per bushel at harvest)","2000.0","1.77"
"corn","us","Enterprise size (planted acres)","2000.0","189.0"
"corn","us","Irrigated (percent)","2000.0","15.0"
"corn","us","Dryland (percent)","2000.0","85.0"
"corn","us","Primary product:  Corn grain","2001.0","264.96000000000004"
"corn","us","Secondary product:  Corn silage","2001.0","1.96"
"corn","us","Total, gross value of production","2001.0","266.92"
"corn","us","Seed","2001.0","32.34"
"corn","us","Fertilizer","2001.0","55.12"
"corn","us","Chemicals","2001.0","26.44"
"corn","us","Custom operations","2001.0","10.94"
"corn","us","Fuel, lube, and electricity","2001.0","20.88"
"corn","us","Repairs","2001.0","13.76"
"corn","us","Purchased irrigation water","2001.0","0.22"
"corn","us","Interest on operating capital","2001.0","2.6"
"corn","us","Total, operating costs","2001.0","162.29999999999998"
"corn","us","Hired labor","2001.0","2.92"
"corn","us","Opportunity cost of unpaid labor","2001.0","24.96"
"corn","us","Capital recovery of machinery and equipment","2001.0","54.69"
"corn","us","Opportunity cost of land","2001.0","86.5"
"corn","us","Taxes and insurance","2001.0","5.49"
"corn","us","General farm overhead","2001.0","11.67"
"corn","us","Total, allocated overhead","2001.0","186.23"
"corn","us","Total, costs listed","2001.0","348.53"
"corn","us","Value of production less total costs listed","2001.0","-81.60999999999996"
"corn","us","Value of production less operating costs","2001.0","104.62000000000003"
"corn","us","Yield (bushels per planted acre)","2001.0","144.0"
"corn","us","Price (dollars per bushel at harvest)","2001.0","1.84"
"corn","us","Enterprise size (planted acres)","2001.0","236.0"
"corn","us","Irrigated (percent)","2001.0","14.0"
"corn","us","Dryland (percent)","2001.0","86.0"
"corn","us","Primary product:  Corn grain","2002.0","310.88"
"corn","us","Secondary product:  Corn silage","2002.0","1.94"
"corn","us","Total, gross value of production","2002.0","312.82"
"corn","us","Seed","2002.0","31.84"
"corn","us","Fertilizer","2002.0","42.51"
"corn","us","Chemicals","2002.0","26.11"
"corn","us","Custom operations","2002.0","10.79"
"corn","us","Fuel, lube, and electricity","2002.0","18.93"
"corn","us","Repairs","2002.0","13.91"
"corn","us","Purchased irrigation water","2002.0","0.22"
"corn","us","Interest on operating capital","2002.0","1.17"
"corn","us","Total, operating costs","2002.0","145.48"
"corn","us","Hired labor","2002.0","3.06"
"corn","us","Opportunity cost of unpaid labor","2002.0","25.74"
"corn","us","Capital recovery of machinery and equipment","2002.0","55.26"
"corn","us","Opportunity cost of land","2002.0","87.44"
"corn","us","Taxes and insurance","2002.0","5.42"
"corn","us","General farm overhead","2002.0","11.91"
"corn","us","Total, allocated overhead","2002.0","188.82999999999998"
"corn","us","Total, costs listed","2002.0","334.30999999999995"
"corn","us","Value of production less total costs listed","2002.0","-21.489999999999952"
"corn","us","Value of production less operating costs","2002.0","167.34"
"corn","us","Yield (bushels per planted acre)","2002.0","134.0"
"corn","us","Price (dollars per bushel at harvest)","2002.0","2.32"
"corn","us","Enterprise size (planted acres)","2002.0","236.0"
"corn","us","Irrigated (percent)","2002.0","14.0"
"corn","us","Dryland (percent)","2002.0","86.0"
"corn","us","Primary product:  Corn grain","2003.0","317.37"
"corn","us","Secondary product:  Corn silage","2003.0","2.25"
"corn","us","Total, gross value of production","2003.0","319.62"
"corn","us","Seed","2003.0","34.83"
"corn","us","Fertilizer","2003.0","50.64"
"corn","us","Chemicals","2003.0","26.2"
"corn","us","Custom operations","2003.0","11.17"
"corn","us","Fuel, lube, and electricity","2003.0","23.06"
"corn","us","Repairs","2003.0","14.22"
"corn","us","Purchased irrigation water","2003.0","0.22"
"corn","us","Interest on operating capital","2003.0","0.82"
"corn","us","Total, operating costs","2003.0","161.16"
"corn","us","Hired labor","2003.0","3.14"
"corn","us","Opportunity cost of unpaid labor","2003.0","26.53"
"corn","us","Capital recovery of machinery and equipment","2003.0","56.67"
"corn","us","Opportunity cost of land","2003.0","89.2"
"corn","us","Taxes and insurance","2003.0","5.54"
"corn","us","General farm overhead","2003.0","12.17"
"corn","us","Total, allocated overhead","2003.0","193.25"
"corn","us","Total, costs listed","2003.0","354.40999999999997"
"corn","us","Value of production less total costs listed","2003.0","-34.789999999999964"
"corn","us","Value of production less operating costs","2003.0","158.46"
"corn","us","Yield (bushels per planted acre)","2003.0","149.0"
"corn","us","Price (dollars per bushel at harvest)","2003.0","2.13"
"corn","us","Enterprise size (planted acres)","2003.0","236.0"
"corn","us","Irrigated (percent)","2003.0","14.0"
"corn","us","Dryland (percent)","2003.0","86.0"
"corn","us","Primary product:  Corn grain","2004.0","359.96999999999997"
"corn","us","Secondary product:  Corn silage","2004.0","2.38"
"corn","us","Total, gross value of production","2004.0","362.34999999999997"
"corn","us","Seed","2004.0","36.82"
"corn","us","Fertilizer","2004.0","54.62"
"corn","us","Chemicals","2004.0","26.76"
"corn","us","Custom operations","2004.0","11.55"
