"fips","year","obsirrigation","estirrigation"
"01001",2010,4064.82048,0.0
"01003",2010,53865.78432,0.0
"01005",2010,3000.22464,0.0
"01007",2010,953.98848,0.0
"01009",2010,663.64416,524.827162484753
"01011",2010,843.38112,0.0
"01013",2010,470.08128000000005,0.0
"01015",2010,5654.801280000001,0.0
"01017",2010,276.51840000000004,0.0
"01019",2010,1714.41408,0.0
"01021",2010,1589.9807999999998,0.0
"01023",2010,41.47776,0.0
"01025",2010,96.78144,0.0
"01027",2010,82.95552,0.0
"01029",2010,221.21472,0.0
"01031",2010,5074.112639999999,0.0
"01033",2010,3027.87648,15913.704046735098
"01035",2010,124.43328,0.0
"01037",2010,41.47776,0.0
"01039",2010,2709.8803199999998,0.0
"01041",2010,345.648,0.0
"01043",2010,3110.832,0.0
"01045",2010,2986.39872,0.0
"01047",2010,3345.87264,0.0
"01049",2010,801.90336,0.0
"01051",2010,2156.84352,0.0
"01053",2010,4175.42784,0.0
"01055",2010,926.33664,0.0
"01057",2010,235.04064000000002,0.0
"01059",2010,207.38879999999997,3793.859128747591
"01061",2010,5060.28672,0.0
"01063",2010,165.91104,0.0
"01065",2010,124.43328,0.0
"01067",2010,4977.3312000000005,0.0
"01069",2010,13922.701439999999,0.0
"01071",2010,1576.1548799999998,0.0
"01073",2010,3428.82816,0.0
"01075",2010,124.43328,0.0
"01077",2010,5226.19776,3049.1756072932553
"01079",2010,5350.63104,7224.711795065218
"01081",2010,1479.37344,0.0
"01083",2010,10507.6992,52046.37537224713
"01085",2010,3041.7024000000006,0.0
"01087",2010,2972.5728,0.0
"01089",2010,11627.59872,9711.270131387539
"01091",2010,207.38879999999997,0.0
"01093",2010,235.04064000000002,0.0
"01095",2010,2613.09888,0.0
"01097",2010,14766.08256,0.0
"01099",2010,760.4256000000001,0.0
"01101",2010,2060.06208,0.0
"01103",2010,1451.7216,0.0
"01105",2010,82.95552,0.0
"01107",2010,1949.45472,0.0
"01109",2010,2571.6211200000002,0.0
"01111",2010,138.25920000000002,0.0
"01113",2010,3345.87264,0.0
"01115",2010,2903.4432,0.0
"01117",2010,4465.77216,0.0
"01119",2010,304.17024,0.0
"01121",2010,2336.58048,0.0
"01123",2010,497.73312,0.0
"01125",2010,4866.72384,0.0
"01127",2010,1396.4179199999999,0.0
"01129",2010,152.08512,0.0
"01131",2010,96.78144,0.0
"01133",2010,96.78144,0.0
"04001",2010,10507.6992,0.0
"04003",2010,296856.32832,0.0
"04005",2010,387.12576,0.0
"04007",2010,3650.0428800000004,0.0
"04009",2010,230284.52352000002,0.0
"04011",2010,20407.05792,0.0
"04012",2010,918511.1692800001,0.0
"04013",2010,1.51168461504e6,0.0
"04015",2010,100956.86783999999,0.0
"04017",2010,22135.29792,0.0
"04019",2010,139475.88096,0.0
"04021",2010,1.45609059072e6,0.0
"04023",2010,14378.9568,0.0
"04025",2010,41118.28608,0.0
"04027",2010,1.5511299648000002e6,0.0
"05001",2010,1.2916589241600002e6,38129.60152160201
"05003",2010,184797.24672,13903.701405824762
"05005",2010,0.0,0.0
"05007",2010,0.0,0.0
"05009",2010,0.0,0.0
"05011",2010,0.0,0.0
"05013",2010,0.0,0.0
"05015",2010,221.21472,0.0
"05017",2010,309354.96,190474.50427779817
"05019",2010,12152.98368,0.0
"05021",2010,559631.76384,180741.2919127113
"05023",2010,179.73695999999998,0.0
"05025",2010,0.0,0.0
"05027",2010,0.0,0.0
"05029",2010,8143.46688,0.0
"05031",2010,562134.2553600001,0.0
"05033",2010,1783.54368,8899.790759354179
"05035",2010,292860.63744,0.0
"05037",2010,772329.71712,0.0
"05039",2010,0.0,0.0
"05041",2010,626922.51648,0.0
"05043",2010,46372.13568,6677.4064010281545
"05045",2010,2253.62496,0.0
"05047",2010,82.95552,0.0
"05049",2010,0.0,0.0
"05051",2010,0.0,0.0
"05053",2010,4368.99072,0.0
"05055",2010,483395.64096,0.0
"05057",2010,0.0,0.0
"05059",2010,11033.08416,0.0
"05061",2010,0.0,0.0
"05063",2010,111091.26719999999,0.0
"05065",2010,0.0,0.0
"05067",2010,605119.04064,0.0
"05069",2010,389061.38879999996,14606.049237380945
"05071",2010,0.0,0.0
"05073",2010,27444.451200000003,0.0
"05075",2010,272329.14624000003,0.0
"05077",2010,416699.40288,196456.13026177592
"05079",2010,305787.87263999996,10658.069349826254
"05081",2010,12719.846399999999,6912.479999191733
"05083",2010,359.47391999999996,6035.985834800505
"05085",2010,607040.84352,0.0
"05087",2010,0.0,0.0
"05089",2010,0.0,0.0
"05091",2010,19480.72128,0.0
"05093",2010,505765.97952,286188.1523018396
"05095",2010,390319.54751999996,110737.79391640656
"05097",2010,0.0,0.0
"05099",2010,0.0,0.0
"05101",2010,0.0,0.0
"05103",2010,0.0,0.0
"05105",2010,608.34048,0.0
"05107",2010,363676.99968,253257.24209520977
"05109",2010,0.0,0.0
"05111",2010,1.28773236288e6,0.0
"05113",2010,622.1664000000001,0.0
"05115",2010,1811.19552,0.0
"05117",2010,420307.968,17666.43745145879
"05119",2010,42307.315200000005,0.0
"05121",2010,212974.47168,0.0
"05123",2010,493709.77728,0.0
"05125",2010,483.90719999999993,0.0
"05127",2010,193.56288,0.0
"05129",2010,0.0,0.0
"05131",2010,262.69248,12431.680767925729
"05133",2010,13.82592,0.0
"05135",2010,0.0,0.0
"05137",2010,96.78144,0.0
"05139",2010,0.0,0.0
"05141",2010,0.0,0.0
"05143",2010,207.38879999999997,0.0
"05145",2010,79139.56608,3066.7502652266967
"05147",2010,318784.23744,0.0
"05149",2010,0.0,0.0
"06001",2010,25259.95584,0.0
"06003",2010,5834.538239999999,0.0
"06005",2010,23545.54176,0.0
"06007",2010,893347.99488,0.0
"06009",2010,17102.66304,0.0
"06011",2010,1.14615494208e6,0.0
"06013",2010,92702.79359999999,0.0
"06015",2010,13369.66464,0.0
"06017",2010,14088.612479999998,0.0
"06019",2010,3.44648385984e6,0.0
"06021",2010,827979.04512,0.0
"06023",2010,53326.57344,0.0
"06025",2010,1.50497904384e6,0.0
"06027",2010,113469.32544,0.0
"06029",2010,2.50268508288e6,0.0
"06031",2010,1.73023093248e6,0.0
"06033",2010,45183.10656,0.0
"06035",2010,243225.58464,0.0
"06037",2010,126272.12736,0.0
"06039",2010,984377.85216,0.0
"06041",2010,12498.63168,0.0
"06043",2010,3359.6985600000003,0.0
"06045",2010,90670.38335999999,0.0
"06047",2010,1.9000547078399998e6,0.0
"06049",2010,349698.99456,0.0
"06051",2010,296496.85439999995,0.0
"06053",2010,662883.7344,0.0
"06055",2010,94970.24448000001,0.0
"06057",2010,40758.81216,0.0
"06059",2010,25439.692799999997,0.0
"06061",2010,165164.44032,0.0
"06063",2010,154062.22656,0.0
"06065",2010,672921.35232,0.0
"06067",2010,423861.22944,0.0
"06069",2010,100500.61248000001,0.0
"06071",2010,128290.71168000001,0.0
"06073",2010,236298.79872,0.0
"06075",2010,1023.11808,0.0
"06077",2010,2.19115945344e6,0.0
"06079",2010,230229.21984,0.0
"06081",2010,11129.865600000001,0.0
"06083",2010,244525.22112,0.0
"06085",2010,49648.87872,0.0
"06087",2010,45915.880320000004,0.0
"06089",2010,198374.30015999998,0.0
"06091",2010,52248.15168,0.0
"06093",2010,536805.16992,0.0
"06095",2010,527984.2329599999,0.0
"06097",2010,205757.34144,0.0
"06099",2010,2.07380504448e6,0.0
"06101",2010,959781.54048,0.0
"06103",2010,303617.2032,0.0
"06105",2010,6207.83808,0.0
"06107",2010,3.39969694656e6,0.0
"06109",2010,7424.51904,0.0
"06111",2010,312590.22528,0.0
"06113",2010,1.0196062963200001e6,0.0
"06115",2010,332637.80928000004,0.0
"08001",2010,201606.10896,0.0
"08003",2010,206545.41887999998,0.0
"08005",2010,23089.286399999997,0.0
"08007",2010,77452.80384000001,0.0
"08009",2010,133848.73152,0.0
"08011",2010,206904.8928,0.0
"08013",2010,201619.93488,0.0
"08015",2010,111381.61151999999,0.0
"08017",2010,45169.28064,0.0
"08019",2010,235.04064000000002,0.0
"08021",2010,506761.44576,0.0
"08023",2010,186857.3088,0.0
"08025",2010,16411.367039999997,0.0
"08027",2010,36984.336,0.0
"08029",2010,478611.8726400001,0.0
"08031",2010,1396.4179199999999,0.0
"08033",2010,7051.2192,0.0
"08035",2010,21665.216640000002,0.0
"08037",2010,175008.49535999997,0.0
"08039",2010,14876.68992,0.0
"08041",2010,43219.82592,0.0
"08043",2010,161611.17888,0.0
"08045",2010,334808.47871999996,0.0
"08047",2010,0.0,0.0
"08049",2010,254217.19104,0.0
"08051",2010,764988.1536,0.0
"08053",2010,37288.50624,0.0
"08055",2010,48708.716159999996,0.0
"08057",2010,479939.16095999995,0.0
"08059",2010,21177.85296,0.0
"08061",2010,6774.7008000000005,0.0
"08063",2010,174897.888,0.0
"08065",2010,15858.33024,0.0
"08067",2010,444019.42079999996,0.0
"08069",2010,503139.05472,0.0
"08071",2010,92495.40480000002,0.0
"08073",2010,4769.942400000001,0.0
"08075",2010,218117.71391999998,0.0
"08077",2010,1.02638099712e6,0.0
"08079",2010,21582.261120000003,0.0
"08081",2010,209517.99167999998,0.0
"08083",2010,339315.72864,0.0
"08085",2010,954375.60576,0.0
"08087",2010,228431.85024,0.0
"08089",2010,596491.66656,0.0
"08091",2010,143236.5312,0.0
"08093",2010,30638.238719999998,0.0
"08095",2010,79346.95487999999,0.0
"08097",2010,160892.23103999998,0.0
"08099",2010,198816.72960000002,0.0
"08101",2010,213126.55680000002,0.0
"08103",2010,341417.26848,0.0
"08105",2010,798073.58016,0.0
"08107",2010,264973.75680000003,0.0
"08109",2010,372567.06624,0.0
"08111",2010,0.0,0.0
"08113",2010,50865.55968,0.0
"08115",2010,83854.20479999999,0.0
"08117",2010,83826.55296000002,0.0
"08119",2010,5668.627199999999,0.0
"08121",2010,97693.95072,0.0
"08123",2010,577629.6552,0.0
"08125",2010,293247.7632,0.0
"09001",2010,5585.6716799999995,0.0
"09003",2010,12706.02048,0.0
"09005",2010,1977.1065599999997,0.0
"09007",2010,1562.32896,0.0
"09009",2010,6774.7008000000005,0.0
"09011",2010,2101.53984,0.0
"09013",2010,1520.8512000000003,0.0
"09015",2010,898.6848,0.0
"10001",2010,37634.15424,43656.52578087114
"10003",2010,5115.5904,8615.355739007506
"10005",2010,97348.30271999999,80980.34971106886
"11001",2010,138.25920000000002,0.0
"12001",2010,29131.21344,0.0
"12003",2010,1064.5958400000002,0.0
"12005",2010,4590.20544,0.0
"12007",2010,815.7292799999999,0.0
"12009",2010,104938.73280000001,0.0
"12011",2010,56879.83488,0.0
"12013",2010,2972.5728,0.0
"12015",2010,69309.33696000002,0.0
"12017",2010,9291.01824,0.0
"12019",2010,11157.51744,0.0
"12021",2010,273849.99744,0.0
"12023",2010,7770.16704,0.0
"12027",2010,98495.85408,0.0
"12029",2010,3871.2575999999995,0.0
"12031",2010,13051.668479999998,0.0
"12033",2010,8807.111040000002,0.0
"12035",2010,17462.13696,0.0
"12037",2010,414.77759999999995,0.0
"12039",2010,16521.9744,0.0
"12041",2010,9069.80352,0.0
"12043",2010,211121.79839999997,0.0
"12045",2010,152.08512,0.0
"12047",2010,13784.44224,0.0
"12049",2010,63903.40224,0.0
"12051",2010,576983.2934399999,0.0
"12053",2010,10341.78816,0.0
"12055",2010,133350.9984,0.0
"12057",2010,96504.92159999999,0.0
"12059",2010,2364.2323199999996,0.0
"12061",2010,175478.57664,0.0
"12063",2010,21402.52416,0.0
"12065",2010,7535.1264,0.0
"12067",2010,5958.971519999999,0.0
"12069",2010,70802.53632000001,0.0
"12071",2010,148932.81024000002,0.0
"12073",2010,2488.6656000000003,0.0
"12075",2010,39431.523839999994,0.0
"12077",2010,0.0,0.0
"12079",2010,14351.304960000001,0.0
"12081",2010,117368.23487999999,0.0
"12083",2010,29407.73184,0.0
"12085",2010,74217.53856,0.0
"12086",2010,109611.89376,0.0
"12087",2010,1382.592,0.0
"12089",2010,6124.88256,0.0
"12091",2010,5267.675520000001,0.0
"12093",2010,76028.73408,0.0
"12095",2010,44381.2032,0.0
"12097",2010,78420.61824,0.0
"12099",2010,633489.82848,0.0
"12101",2010,23573.193600000002,0.0
"12103",2010,4175.42784,0.0
"12105",2010,167653.10592000003,0.0
"12107",2010,30555.2832,0.0
"12109",2010,37122.5952,0.0
"12111",2010,95716.84416000001,0.0
"12113",2010,11599.946880000001,0.0
"12115",2010,14185.39392,0.0
"12117",2010,17227.09632,0.0
"12119",2010,14005.65696,0.0
"12121",2010,31661.356799999998,0.0
"12123",2010,566.86272,0.0
"12125",2010,1327.28832,0.0
"12127",2010,71922.43584,0.0
"12129",2010,553.0368000000001,0.0
"12131",2010,3567.08736,0.0
"12133",2010,1479.37344,0.0
"13001",2010,2640.7507199999995,7961.1865810754425
