"coef","mean","serr","state"
"gddoffset",526.1718372708646,0.0,"AZ"
"kddoffset",0.00013032748752607646,0.0,"AZ"
"intercept",1.7676218229874967,0.020497273840695378,"AZ"
"gdds",0.0004251871685542108,2.743929127686831e-8,"AZ"
"kdds",-4.49116914882176,35.46974135938629,"AZ"
"wreq",0.023232778372514314,0.01893186860571134,"AZ"
"gddoffset",905.4455703766553,0.0,"CO"
"kddoffset",0.25161959853096116,0.0,"CO"
"intercept",1.1689889747956608,0.0017336131947808776,"CO"
"gdds",-0.00021694607242087857,1.474302841567801e-9,"CO"
"kdds",-0.011243398676336612,5.542678408046522e-5,"CO"
"wreq",-0.645554682978314,0.0022161250149413418,"CO"
"gddoffset",726.0588184314487,0.0,"ID"
"kddoffset",0.057775923629568134,0.0,"ID"
"intercept",1.6181592790991821,0.001235361584422402,"ID"
"gdds",1.08251471644394e-5,9.968107338122973e-10,"ID"
"kdds",0.004239383657276758,8.297309763502437e-5,"ID"
"wreq",-0.260676585486013,0.0013752130755227557,"ID"
"gddoffset",1656.122448485331,0.0,"IL"
"kddoffset",0.3949533910897109,0.0,"IL"
"intercept",1.3270386607719815,0.0002641514717680812,"IL"
"gdds",-1.202513092763926e-5,3.861158986455058e-10,"IL"
"kdds",-0.04076598600154508,1.3083868041378563e-5,"IL"
"wreq",-0.33610251041879496,0.0005852545608648705,"IL"
"gddoffset",1714.3228394572254,0.0,"IN"
"kddoffset",0.3197773994053983,0.0,"IN"
"intercept",1.5347684903656098,0.00018731090254159657,"IN"
"gdds",-0.00010320534819100246,2.8938320328223646e-10,"IN"
"kdds",-0.00696536683573843,1.293000351540187e-5,"IN"
"wreq",-0.43911616690751615,0.0005199055706576991,"IN"
"gddoffset",1447.7331515498963,0.0,"IA"
"kddoffset",0.2848573757716745,0.0,"IA"
"intercept",1.4589149363320668,0.00021529899515207698,"IA"
"gdds",0.0004609614297139946,5.397102362866815e-10,"IA"
"kdds",-0.018442795965124163,3.9666673098632525e-5,"IA"
"wreq",-0.24748449742003414,0.0006445904273410597,"IA"
"gddoffset",1542.6574659993491,0.0,"KS"
"kddoffset",0.7279919504663313,0.0,"KS"
"intercept",1.0273478874051913,0.0001773575117917758,"KS"
"gdds",-0.00013944721849733699,3.0228325582377763e-10,"KS"
"kdds",-0.02153962074864922,6.375961571527665e-6,"KS"
"wreq",-0.6484773855236233,0.0003076797549515784,"KS"
"gddoffset",2074.062597968482,0.0,"KY"
"kddoffset",0.5335523016349302,0.0,"KY"
"intercept",1.1718006101082894,0.00023492822610614726,"KY"
"gdds",0.00016322566435210002,2.556388655063695e-10,"KY"
"kdds",-0.00963570945168093,6.089040739536102e-6,"KY"
"wreq",-0.6331833262560118,0.0004583842418684998,"KY"
"gddoffset",1095.6976638015872,0.0,"MD"
"kddoffset",0.2998173607830723,0.0,"MD"
"intercept",1.3596165219358547,0.0011146604189833983,"MD"
"gdds",0.0003333762122850891,3.633177101692887e-9,"MD"
"kdds",-0.05791917337073454,0.0001546313230985637,"MD"
"wreq",-0.5770127930585367,0.0024715645739889587,"MD"
"gddoffset",1007.9052365397678,0.0,"MI"
"kddoffset",0.0797460042717912,0.0,"MI"
"intercept",1.6855284362430751,0.0005635512181124151,"MI"
"gdds",-4.1989088260804394e-5,6.060123035800716e-10,"MI"
"kdds",0.013602851431536828,0.00012417252932344424,"MI"
"wreq",-0.6730765160739811,0.0019095525896892535,"MI"
"gddoffset",1082.1153751010702,0.0,"MN"
"kddoffset",0.3513034764880559,0.0,"MN"
"intercept",1.0013371919185292,0.000293902342434494,"MN"
"gdds",-0.00016336012157560539,7.084852333221469e-10,"MN"
"kdds",0.0011816418764320398,3.5712223009516e-5,"MN"
"wreq",-0.46939800642266927,0.001027219557720441,"MN"
"gddoffset",2112.8552325586697,0.0,"MO"
"kddoffset",1.2958886349215684,0.0,"MO"
"intercept",1.0309371534619909,9.106846846261538e-5,"MO"
"gdds",2.4372860747033395e-5,1.830026084708133e-10,"MO"
"kdds",-0.00613318970399242,1.2159840089092228e-6,"MO"
"wreq",-0.5029312809032224,0.00019349844500155387,"MO"
"gddoffset",1202.8017105103843,0.0,"MT"
"kddoffset",0.51831746492824,0.0,"MT"
"intercept",0.8020319166658887,0.0010491216396499377,"MT"
"gdds",0.00010866038456055096,1.046774346356217e-9,"MT"
"kdds",-0.030738018905645426,7.144136509996975e-6,"MT"
"wreq",-0.48776706194461167,0.001971789396546614,"MT"
"gddoffset",1173.3960579625075,0.0,"NE"
"kddoffset",0.3292598009096775,0.0,"NE"
"intercept",0.7427830241962032,0.00018984227880945332,"NE"
"gdds",-0.000256672259084238,2.8110845872677795e-10,"NE"
"kdds",-0.034046889727496074,1.3756235004372194e-5,"NE"
"wreq",-0.35614864760639015,0.00034351759093590806,"NE"
"gddoffset",1168.6287408408277,0.0,"NV"
"kddoffset",0.24917960723315408,0.0,"NV"
"intercept",1.125629769350826,0.02507380050238817,"NV"
"gdds",6.994200228332228e-5,7.179202301287829e-9,"NV"
"kdds",0.04471205840293159,0.0001600416920481209,"NV"
"wreq",-0.18112477440427172,0.018985358363643245,"NV"
"gddoffset",1371.7780724333675,0.0,"NJ"
"kddoffset",0.2486539141935808,0.0,"NJ"
"intercept",1.1800511225804662,5.682513260048736e-27,"NJ"
"gdds",0.00044747950240882627,4.222468363965781e-33,"NJ"
"kdds",-0.13364082365045166,1.7449235447671166e-28,"NJ"
"wreq",0.0036264470219861578,1.1686201957357938e-27,"NJ"
"gddoffset",1315.6905682259367,0.0,"NM"
"kddoffset",0.1638874761618956,0.0,"NM"
"intercept",1.4008514235592877,0.009713774786171086,"NM"
"gdds",-5.328488877231245e-5,5.289831116082812e-9,"NM"
"kdds",-0.012911569896497496,0.0003364300488993741,"NM"
"wreq",-0.462453017338645,0.008079693303113806,"NM"
"gddoffset",897.3286744424302,0.0,"NY"
"kddoffset",0.07244994595254317,0.0,"NY"
"intercept",0.5964346176485198,0.0004935055216499691,"NY"
"gdds",0.00013193344918072578,1.2883203794390487e-9,"NY"
"kdds",0.09072484819086268,0.000496508169842334,"NY"
"wreq",-0.20915101453074753,0.0016374359392320587,"NY"
"gddoffset",1438.8901096582404,0.0,"NC"
"kddoffset",0.29171287467482093,0.0,"NC"
"intercept",NaN,0.0,"NC"
"gdds",NaN,0.0,"NC"
"kdds",-0.003494015580838545,1.8373547142773493e-5,"NC"
"wreq",NaN,0.0,"NC"
"gddoffset",1477.2621178318548,0.0,"ND"
"kddoffset",1.354472967166704,0.0,"ND"
"intercept",0.6467437372518887,0.0003970281740898266,"ND"
"gdds",-6.794752963277125e-5,6.190000951858277e-10,"ND"
"kdds",-0.030634338087057338,3.883801599072684e-6,"ND"
"wreq",-0.39243784852783614,0.0011365143701893413,"ND"
"gddoffset",1519.267271231174,0.0,"OH"
"kddoffset",0.1598778666718102,0.0,"OH"
"intercept",1.4287792088858537,0.00014130765272493313,"OH"
"gdds",-4.406601004839855e-5,2.3438477283389e-10,"OH"
"kdds",-0.03568257501607448,2.006455539925795e-5,"OH"
"wreq",-0.42404245672597674,0.0004208217886577925,"OH"
"gddoffset",1796.7807198505768,0.0,"OK"
"kddoffset",0.6384867118936836,0.0,"OK"
"intercept",0.995436174418409,0.0002910139468137705,"OK"
"gdds",-7.233270300333522e-5,3.7172475713241803e-10,"OK"
"kdds",-0.03470376992121627,8.039716360553046e-6,"OK"
"wreq",-0.6536436589811901,0.0004551535840999475,"OK"
"gddoffset",1282.8920496477058,0.0,"OR"
"kddoffset",0.0387623127751028,0.0,"OR"
"intercept",1.4342926817738106,0.005495778977580539,"OR"
"gdds",-2.5715496549127957e-5,1.3209113805443863e-9,"OR"
"kdds",-0.01936622394063646,0.0008653237087143697,"OR"
"wreq",-0.6484649258283666,0.0065316275585018254,"OR"
"gddoffset",807.5361556189544,0.0,"PA"
"kddoffset",0.06999125734288685,0.0,"PA"
"intercept",1.193956936097101,0.0002628650888183281,"PA"
"gdds",2.6328903166710805e-5,8.682224967912352e-10,"PA"
"kdds",-0.09768719973123573,0.0001988985131973091,"PA"
"wreq",-0.7005457658223658,0.0007071309729768846,"PA"
"gddoffset",1748.9063510326316,0.0,"SD"
"kddoffset",3.266369567168797,0.0,"SD"
"intercept",1.0304215136137245,0.0008199850466351187,"SD"
"gdds",-0.00017416238010378198,9.446177422426664e-10,"SD"
"kdds",-0.004045115434564655,2.7181628961486227e-6,"SD"
"wreq",-0.9328001516127754,0.0017522402621007644,"SD"
"gddoffset",1961.581289834609,0.0,"TN"
"kddoffset",0.08584346719721758,0.0,"TN"
"intercept",1.2879188722549113,0.00043619036482542593,"TN"
"gdds",0.00013707312615915236,4.893670739255975e-10,"TN"
"kdds",0.027576032825105873,0.0002627378979381018,"TN"
"wreq",-0.7044571280870936,0.0007836816363762047,"TN"
"gddoffset",2706.2131589187634,0.0,"TX"
"kddoffset",6.752256266885421,0.0,"TX"
"intercept",1.978278487295439,2.7411430016570633e-26,"TX"
"gdds",-0.00017413421399335572,9.649136463872057e-33,"TX"
"kdds",0.006224118429425025,3.469128955047362e-29,"TX"
"wreq",-1.678873788253979,6.971392929341655e-26,"TX"
"gddoffset",1006.4099464532062,0.0,"UT"
"kddoffset",0.2188404997333017,0.0,"UT"
"intercept",1.5071648232301358,0.012609265985665426,"UT"
"gdds",-0.00028235358230236984,6.424145731961961e-9,"UT"
"kdds",0.022697692181886157,0.0001947408534579314,"UT"
"wreq",-0.8892242779386633,0.014683329625963694,"UT"
"gddoffset",1452.7342519734846,0.0,"VA"
"kddoffset",0.26093045578858765,0.0,"VA"
"intercept",1.2469039034731313,0.0007776231432879513,"VA"
"gdds",-6.109879079190069e-5,1.9272151242895705e-9,"VA"
"kdds",-0.044149426497696556,0.00011730236726227129,"VA"
"wreq",-0.655733646345027,0.0016756175491262069,"VA"
"gddoffset",1102.904370811917,0.0,"WA"
"kddoffset",0.037519019094010585,0.0,"WA"
"intercept",0.9704256616314407,0.00489038040077357,"WA"
"gdds",4.9021301671305975e-5,2.0146588941839105e-9,"WA"
"kdds",-0.07889122799559038,0.0009576911917586968,"WA"
"wreq",-0.16505912576595363,0.008614816975196168,"WA"
"gddoffset",1819.9135366965154,0.0,"WV"
"kddoffset",0.2426567511830119,0.0,"WV"
"intercept",0.8973631127731218,0.000392893147081587,"WV"
"gdds",-0.00014477623257090654,6.430511116039288e-10,"WV"
"kdds",-0.009923425026936846,5.0274752215053416e-5,"WV"
"wreq",-0.5293162458314989,0.0011736851299348813,"WV"
"gddoffset",1138.6133432476179,0.0,"WI"
"kddoffset",0.11158746853365271,0.0,"WI"
"intercept",1.0572894993198263,0.0004551320501303187,"WI"
"gdds",7.688290987879886e-5,1.0544493373428882e-9,"WI"
"kdds",-0.1513788937864535,0.00023869129555986377,"WI"
"wreq",-0.9928831421041601,0.00168929584802018,"WI"
"gddoffset",1065.5939675974566,0.0,"WY"
"kddoffset",0.16335618154663106,0.0,"WY"
"intercept",0.9335944954685158,0.004693563843665072,"WY"
"gdds",-0.00019481857479304235,2.769587700580168e-9,"WY"
"kdds",-0.021577160823080886,0.00016405858723786233,"WY"
"wreq",-0.6225661471625171,0.007174678114549537,"WY"
